timestamp,severity,contributing_feature,reconstruction_error,diagnostic_trigger
2022-06-04 17:25:00,Medium,active_energy,0.1436914,Trigger Diagnostic
2022-06-04 17:35:00,Low,active_energy,0.10629768,No Action
2022-06-04 23:15:00,Medium,active_energy,0.11916511,Trigger Diagnostic
2022-06-05 01:25:00,Low,active_energy,0.11010332,No Action
2022-06-05 04:45:00,Medium,active_energy,0.13581243,Trigger Diagnostic
2022-06-05 05:45:00,High,active_energy,0.19703947,Trigger Diagnostic
2022-06-05 06:05:00,Medium,active_energy,0.12411306,Trigger Diagnostic
2022-06-05 06:20:00,High,active_energy,0.1821515,Trigger Diagnostic
2022-06-05 06:25:00,Medium,active_energy,0.12222855,Trigger Diagnostic
2022-06-05 09:00:00,Medium,active_energy,0.11895757,Trigger Diagnostic
2022-06-05 11:25:00,High,active_energy,0.15775512,Trigger Diagnostic
2022-06-05 13:40:00,Medium,active_energy,0.13385661,Trigger Diagnostic
2022-06-05 14:05:00,Low,active_energy,0.112155,No Action
2022-06-05 14:45:00,Low,active_energy,0.10365097,No Action
2022-06-05 16:15:00,High,active_energy,0.15441449,Trigger Diagnostic
2022-06-05 17:00:00,High,active_energy,0.15740493,Trigger Diagnostic
2022-06-05 17:25:00,Medium,active_energy,0.14096123,Trigger Diagnostic
2022-06-05 18:00:00,Medium,active_energy,0.11888278,Trigger Diagnostic
2022-06-05 18:45:00,Medium,active_energy,0.124202386,Trigger Diagnostic
2022-06-05 19:35:00,Medium,active_energy,0.11987305,Trigger Diagnostic
2022-06-05 19:40:00,Medium,active_energy,0.13016626,Trigger Diagnostic
2022-06-05 20:50:00,High,active_energy,0.15359324,Trigger Diagnostic
2022-06-06 00:20:00,Low,active_energy,0.10696449,No Action
2022-06-06 01:40:00,Low,active_energy,0.11198027,No Action
2022-06-06 06:25:00,Medium,active_energy,0.13594966,Trigger Diagnostic
2022-06-06 09:50:00,High,active_energy,0.15502149,Trigger Diagnostic
2022-06-06 11:00:00,Low,active_energy,0.10413694,No Action
2022-06-06 11:05:00,Medium,active_energy,0.13488694,Trigger Diagnostic
2022-06-06 11:30:00,High,active_energy,0.15479454,Trigger Diagnostic
2022-06-06 14:20:00,Medium,active_energy,0.12721266,Trigger Diagnostic
2022-06-06 18:15:00,Low,active_energy,0.116328865,No Action
2022-06-06 22:30:00,Low,active_energy,0.1089324,No Action
2022-06-07 00:05:00,Medium,active_energy,0.12041626,Trigger Diagnostic
2022-06-07 01:00:00,Medium,active_energy,0.13162318,Trigger Diagnostic
2022-06-07 01:35:00,Medium,active_energy,0.14211166,Trigger Diagnostic
2022-06-07 02:40:00,Low,active_energy,0.10501842,No Action
2022-06-07 04:30:00,Medium,active_energy,0.1263418,Trigger Diagnostic
2022-06-07 05:25:00,High,active_energy,0.1621501,Trigger Diagnostic
2022-06-07 05:50:00,High,active_energy,0.19125704,Trigger Diagnostic
2022-06-07 06:00:00,Low,active_energy,0.109587975,No Action
2022-06-07 06:05:00,High,active_energy,0.15545645,Trigger Diagnostic
2022-06-07 06:40:00,Low,active_energy,0.10298622,No Action
2022-06-07 07:35:00,Medium,active_energy,0.12380996,Trigger Diagnostic
2022-06-07 08:50:00,High,active_energy,0.17074786,Trigger Diagnostic
2022-06-07 09:20:00,Low,active_energy,0.11703411,No Action
2022-06-07 13:35:00,Medium,active_energy,0.12655696,Trigger Diagnostic
2022-06-07 14:45:00,Medium,active_energy,0.13214801,Trigger Diagnostic
2022-06-07 17:50:00,Medium,active_power,0.14518031,Trigger Diagnostic
2022-06-07 21:10:00,High,active_energy,0.22500846,Trigger Diagnostic
2022-06-07 23:30:00,High,active_energy,0.17130522,Trigger Diagnostic
2022-06-07 23:45:00,High,active_energy,0.19407097,Trigger Diagnostic
2022-06-08 03:50:00,High,active_energy,0.21771033,Trigger Diagnostic
2022-06-08 06:45:00,High,active_energy,0.16107291,Trigger Diagnostic
2022-06-08 07:05:00,Low,active_energy,0.11770559,No Action
2022-06-08 07:50:00,Medium,active_energy,0.13417254,Trigger Diagnostic
2022-06-08 08:15:00,Medium,active_energy,0.13963185,Trigger Diagnostic
2022-06-08 08:25:00,High,active_energy,0.16026154,Trigger Diagnostic
2022-06-08 09:10:00,Low,active_energy,0.105797485,No Action
2022-06-08 14:40:00,High,active_energy,0.20705669,Trigger Diagnostic
2022-06-08 15:10:00,High,active_energy,0.18400596,Trigger Diagnostic
2022-06-08 16:05:00,Low,active_energy,0.10200238,No Action
2022-06-08 18:15:00,Medium,active_energy,0.14160325,Trigger Diagnostic
2022-06-08 19:20:00,High,active_energy,0.19247012,Trigger Diagnostic
2022-06-08 19:50:00,Medium,active_energy,0.13907349,Trigger Diagnostic
2022-06-08 20:25:00,Low,active_energy,0.11310267,No Action
2022-06-08 22:50:00,Low,active_energy,0.10358375,No Action
2022-06-08 23:25:00,Medium,active_energy,0.12727651,Trigger Diagnostic
2022-06-09 00:10:00,Medium,active_energy,0.12797694,Trigger Diagnostic
2022-06-09 02:25:00,High,active_energy,0.15810019,Trigger Diagnostic
2022-06-09 02:55:00,High,active_energy,0.15690318,Trigger Diagnostic
2022-06-09 04:15:00,Medium,active_energy,0.123702176,Trigger Diagnostic
2022-06-09 05:35:00,High,active_energy,0.19470108,Trigger Diagnostic
2022-06-09 05:40:00,Medium,active_energy,0.13849175,Trigger Diagnostic
2022-06-09 07:40:00,High,active_energy,0.17186731,Trigger Diagnostic
2022-06-09 12:50:00,High,active_energy,0.1610165,Trigger Diagnostic
2022-06-09 13:15:00,Low,active_energy,0.10858286,No Action
2022-06-09 18:15:00,High,active_energy,0.19758724,Trigger Diagnostic
2022-06-09 21:15:00,High,co2_1,0.14986129,Trigger Diagnostic
2022-06-09 22:15:00,High,active_energy,0.19886056,Trigger Diagnostic
2022-06-09 22:55:00,Low,active_energy,0.11077652,No Action
2022-06-10 01:00:00,High,active_energy,0.19227463,Trigger Diagnostic
2022-06-10 01:10:00,Medium,active_energy,0.13852313,Trigger Diagnostic
2022-06-10 02:40:00,High,active_energy,0.16698092,Trigger Diagnostic
2022-06-10 04:45:00,Low,active_energy,0.10418139,No Action
2022-06-10 08:45:00,Medium,active_energy,0.1255698,Trigger Diagnostic
2022-06-10 10:00:00,Medium,active_energy,0.12194729,Trigger Diagnostic
2022-06-10 19:20:00,High,active_power,0.1710097,Trigger Diagnostic
2022-06-10 20:25:00,Low,co2_1,0.110252626,No Action
2022-06-10 20:55:00,High,co2_1,0.1928313,Trigger Diagnostic
2022-06-11 00:15:00,High,active_energy,0.17935656,Trigger Diagnostic
2022-06-11 01:50:00,Low,active_energy,0.109965995,No Action
2022-06-11 02:45:00,High,active_energy,0.16746391,Trigger Diagnostic
2022-06-11 07:15:00,Low,active_energy,0.10495033,No Action
2022-06-11 07:40:00,Medium,active_energy,0.13383485,Trigger Diagnostic
2022-06-11 08:15:00,Low,active_energy,0.111150034,No Action
2022-06-11 09:35:00,Medium,active_energy,0.13086006,Trigger Diagnostic
2022-06-11 09:50:00,Low,active_energy,0.10435135,No Action
2022-06-11 11:55:00,Low,active_energy,0.11187429,No Action
2022-06-11 12:45:00,Low,co2_1,0.10331412,No Action
2022-06-11 13:45:00,High,co2_1,0.15232894,Trigger Diagnostic
2022-06-11 14:25:00,Medium,co2_1,0.14289197,Trigger Diagnostic
2022-06-11 15:15:00,Medium,high_pressure_1,0.14393872,Trigger Diagnostic
2022-06-11 16:55:00,Medium,high_pressure_1,0.14417736,Trigger Diagnostic
2022-06-11 17:00:00,High,high_pressure_1,0.16833213,Trigger Diagnostic
2022-06-11 18:35:00,Low,high_pressure_1,0.11005394,No Action
2022-06-11 19:30:00,Medium,high_pressure_1,0.14232247,Trigger Diagnostic
2022-06-11 20:25:00,Low,co2_1,0.11884829,No Action
2022-06-11 22:00:00,Medium,co2_1,0.13516705,Trigger Diagnostic
2022-06-11 23:05:00,High,co2_1,0.15053806,Trigger Diagnostic
2022-06-12 02:10:00,Medium,active_energy,0.12632903,Trigger Diagnostic
2022-06-12 02:55:00,High,active_energy,0.15760097,Trigger Diagnostic
2022-06-12 04:05:00,Low,active_energy,0.10417311,No Action
2022-06-12 06:55:00,Low,active_energy,0.11871807,No Action
2022-06-12 11:30:00,High,active_energy,0.18417081,Trigger Diagnostic
2022-06-12 11:55:00,High,active_energy,0.15020992,Trigger Diagnostic
2022-06-12 14:20:00,Low,inlet_temp,0.10833953,No Action
2022-06-12 18:30:00,Low,inlet_temp,0.11410376,No Action
2022-06-13 05:15:00,High,active_energy,0.16670386,Trigger Diagnostic
2022-06-13 06:20:00,Low,active_energy,0.116058886,No Action
2022-06-13 10:20:00,High,active_power,0.1680128,Trigger Diagnostic
2022-06-13 10:40:00,Low,active_power,0.11063066,No Action
2022-06-13 12:10:00,Medium,active_power,0.12445374,Trigger Diagnostic
2022-06-13 12:15:00,Medium,active_power,0.14251846,Trigger Diagnostic
2022-06-13 14:15:00,Low,active_power,0.11662185,No Action
2022-06-13 15:30:00,Low,active_power,0.10756664,No Action
2022-06-13 19:15:00,High,active_power,0.18945017,Trigger Diagnostic
2022-06-13 20:05:00,Medium,active_power,0.12795551,Trigger Diagnostic
2022-06-13 21:05:00,Low,active_power,0.104934916,No Action
2022-06-14 00:25:00,Low,active_energy,0.113365345,No Action
2022-06-14 02:10:00,High,active_energy,0.15482707,Trigger Diagnostic
2022-06-14 06:25:00,High,active_energy,0.19986694,Trigger Diagnostic
2022-06-14 08:55:00,Medium,active_energy,0.12796713,Trigger Diagnostic
2022-06-14 10:50:00,High,active_power,0.15019757,Trigger Diagnostic
2022-06-14 16:45:00,Medium,high_pressure_2,0.12074539,Trigger Diagnostic
2022-06-14 18:10:00,Medium,active_power,0.12000656,Trigger Diagnostic
2022-06-14 18:30:00,Low,active_power,0.10691046,No Action
2022-06-14 19:05:00,High,active_power,0.15397637,Trigger Diagnostic
2022-06-14 19:30:00,High,active_power,0.15044501,Trigger Diagnostic
2022-06-14 21:30:00,Medium,active_power,0.14061463,Trigger Diagnostic
2022-06-14 22:00:00,Low,active_energy,0.10556473,No Action
2022-06-14 22:35:00,Low,active_energy,0.11322063,No Action
2022-06-14 23:05:00,High,active_energy,0.18639004,Trigger Diagnostic
2022-06-14 23:20:00,High,active_energy,0.18427138,Trigger Diagnostic
2022-06-15 02:00:00,High,active_energy,0.16666462,Trigger Diagnostic
2022-06-15 03:15:00,High,active_energy,0.15522723,Trigger Diagnostic
2022-06-15 03:40:00,High,active_energy,0.1701917,Trigger Diagnostic
2022-06-15 05:00:00,Medium,active_energy,0.12960757,Trigger Diagnostic
2022-06-15 05:10:00,Low,active_energy,0.10954647,No Action
2022-06-15 07:40:00,Low,active_energy,0.10363727,No Action
2022-06-15 09:50:00,Low,active_energy,0.11767727,No Action
2022-06-15 10:25:00,Low,active_power,0.10464336,No Action
2022-06-15 11:20:00,Medium,active_power,0.12925169,Trigger Diagnostic
2022-06-15 15:10:00,Medium,high_pressure_2,0.121111184,Trigger Diagnostic
2022-06-15 15:45:00,Medium,high_pressure_2,0.12701763,Trigger Diagnostic
2022-06-15 16:35:00,Low,high_pressure_2,0.10581682,No Action
2022-06-15 16:40:00,High,high_pressure_2,0.17835556,Trigger Diagnostic
2022-06-15 17:00:00,Low,high_pressure_2,0.114095,No Action
2022-06-15 17:40:00,Low,high_pressure_2,0.11009384,No Action
2022-06-15 18:35:00,High,active_power,0.16035745,Trigger Diagnostic
2022-06-15 18:40:00,High,active_power,0.15588726,Trigger Diagnostic
2022-06-15 19:25:00,High,active_power,0.15943716,Trigger Diagnostic
2022-06-15 23:20:00,High,active_energy,0.16146305,Trigger Diagnostic
2022-06-15 23:40:00,Low,active_energy,0.11827042,No Action
2022-06-15 23:45:00,Medium,active_energy,0.122568704,Trigger Diagnostic
2022-06-16 00:15:00,Low,active_energy,0.11605835,No Action
2022-06-16 02:00:00,Medium,active_energy,0.11909698,Trigger Diagnostic
2022-06-16 02:25:00,Medium,active_energy,0.1280007,Trigger Diagnostic
2022-06-16 04:15:00,Low,active_energy,0.11043428,No Action
2022-06-16 07:05:00,Low,active_energy,0.10428881,No Action
2022-06-16 07:45:00,High,active_energy,0.15786238,Trigger Diagnostic
2022-06-16 10:40:00,Medium,active_energy,0.1192929,Trigger Diagnostic
2022-06-16 11:20:00,Medium,active_energy,0.12048017,Trigger Diagnostic
2022-06-16 12:25:00,Medium,active_energy,0.14668746,Trigger Diagnostic
2022-06-16 12:30:00,Low,active_energy,0.11184726,No Action
2022-06-16 13:55:00,Medium,inlet_temp,0.12571114,Trigger Diagnostic
2022-06-16 14:30:00,Low,inlet_temp,0.10738823,No Action
2022-06-16 14:55:00,Low,inlet_temp,0.105322964,No Action
2022-06-16 15:15:00,Medium,inlet_temp,0.12178455,Trigger Diagnostic
2022-06-16 15:35:00,Medium,inlet_temp,0.14164118,Trigger Diagnostic
2022-06-16 18:20:00,Medium,active_energy,0.12790029,Trigger Diagnostic
2022-06-16 19:50:00,Medium,active_energy,0.12318895,Trigger Diagnostic
2022-06-16 20:35:00,Low,active_energy,0.11236936,No Action
2022-06-16 22:25:00,Low,active_energy,0.103949815,No Action
2022-06-16 23:45:00,Low,active_energy,0.11298918,No Action
2022-06-16 23:55:00,Low,active_energy,0.10851348,No Action
2022-06-17 00:20:00,Medium,active_energy,0.12875569,Trigger Diagnostic
2022-06-17 02:55:00,Low,active_energy,0.10870716,No Action
2022-06-17 03:55:00,Low,active_energy,0.11274597,No Action
2022-06-17 05:20:00,Low,active_energy,0.11032684,No Action
2022-06-17 06:15:00,High,active_energy,0.18348658,Trigger Diagnostic
2022-06-17 07:00:00,Low,active_energy,0.10833124,No Action
2022-06-17 07:25:00,High,active_energy,0.20181833,Trigger Diagnostic
2022-06-17 08:05:00,High,active_energy,0.17899075,Trigger Diagnostic
2022-06-17 10:05:00,High,active_power,0.17895634,Trigger Diagnostic
2022-06-17 12:20:00,Medium,active_power,0.13501039,Trigger Diagnostic
2022-06-17 14:40:00,Medium,active_power,0.13225955,Trigger Diagnostic
2022-06-17 20:25:00,Medium,active_power,0.11963666,Trigger Diagnostic
2022-06-17 20:30:00,Low,active_power,0.104038656,No Action
2022-06-17 21:00:00,High,active_power,0.15113868,Trigger Diagnostic
2022-06-17 21:15:00,Medium,active_power,0.1212314,Trigger Diagnostic
2022-06-17 21:25:00,Medium,active_power,0.12297132,Trigger Diagnostic
2022-06-17 22:20:00,Medium,active_power,0.13635314,Trigger Diagnostic
2022-06-18 03:55:00,High,active_energy,0.16970187,Trigger Diagnostic
2022-06-18 04:15:00,Medium,active_energy,0.13577381,Trigger Diagnostic
2022-06-18 04:55:00,Low,active_energy,0.11390014,No Action
2022-06-18 08:10:00,High,active_energy,0.20614727,Trigger Diagnostic
2022-06-18 08:25:00,High,active_energy,0.15064754,Trigger Diagnostic
2022-06-18 12:30:00,Low,co2_1,0.10859676,No Action
2022-06-18 13:20:00,High,co2_1,0.20260277,Trigger Diagnostic
2022-06-18 14:45:00,High,active_power,0.15481819,Trigger Diagnostic
2022-06-18 19:25:00,Low,active_power,0.11315372,No Action
